20|	Na		447.9 ms|23	4.48E-1|2.3E-3	ec	100	+0.3694 2		-10627.1|22	-6255|8	13892.5|11	-33050|50	14150|11	2190.4|11	7298.50|6	20007354.4|12	6850.6|11	1950
11		9			ec ?	20.05|20												
21|	Na		22.49 s|4	2.25E1|4E-2	ec ?+	100	+2.38630 10	+0.124 14	-13088.5|8	-6561.25|27	3547.14|10	-27733.6|19	17106.5|11	2431.67|10	7765.547|5	20997654.70|10	-2184.63|10	1940
11		10																
22|	Na		2.6018 y|22	8.21E7|6.94E4	ec ?+	100	+1.746 3	+0.180 11	-4781.6|3	-8479.5|5	2843.21|17	-24156.7|8	11068.20|20	6738.71|18	7915.667|8	21994437.42|18	-5181.51|17	1935
11		11																
23|	Na		STABLE|				+2.217520 2	+0.1006 20	-4056.34|16	-10467.32|0	-4375.80|10	-17201.2|3	12419.66|17	8794.10|2	8111.493|0	22989769.2820|19	-9529.8525|18	1921
11		12	100 %															
24|	Na		14.997 h|12	5.4E4|4.32E1	?-	100	+1.6903 8		5515.669|21	-10825.35|3	-2466.3|5	-11015.71|16	6959.37|2	10552.82|11	8063.488|1	23990963.011|17	-8417.901|17	1934
11		13																
25|	Na		59.1 s|6	5.91E1|6E-1	?-	100	+3.683 4	-0.10 5	3835.0|12	-11735.1|22	-7322|29	-3495.6|12	9011.2|12	10695.1|13	8101.40|5	24989954.0|13	-9357.8|12	1943
11		14																
26|	Na		1.07128 s|25	1.07E0|2.5E-4	?-	100	+2.851 2	-0.0053 2	9354|4	-12079|13	-7342|19	-1739|3	5574|4	12114|29	8004.20|13	25992635|4	-6861|4	1958
11		15																
27|	Na		301 ms|6	3.01E-1|6E-3	?-	100	+3.895 5	-0.007 3	9069|4	-11230|30	-12570|90	2625|4	6728|5	13288|19	7956.95|14	26994076|4	-5518|4	1968
11		16			?- n	0.13|4												
28|	Na		30.5 ms|4	3.05E-2|4E-4	?-	100	+2.420 2	+0.0395 12	14031|10	-10960|100	-12290|130	5527|10	3542|11	15330|90	7799.3|4	27998939|11	-988|10	1969
11		17			?- n	0.58|12												
29|	Na		44.1 ms|9	4.41E-2|9E-4	?-	100	+2.449 8	+0.086 3	13283|14	-11080|100	-15720|150	9628|8	4403|13	15910|130	7682.15|25	29002877|8	2680|7	1969
11		18			?- n	21.5|30												
30|	Na		48 ms|2	4.8E-2|2E-3	?-	100	+2.069 2	+0.15 4	17358|6	-12600|110	-14810|250	11006|12	2277|9	17210|150	7501.97|16	30009098|5	8475|5	1969
11		19			?- n	30|4												
					?- 2n	1.15|25												
